config,build?,reproducible?
0001,True,True
0002,True,True
0003,True,True
0004,True,True
0005,True,False
0006,True,False
0007,True,True
0008,True,True
0009,True,False
0010,True,True
0011,True,True
0012,True,False
0013,True,True
0014,True,True
0015,True,False
0016,True,False
0017,True,True
0018,True,False
0019,True,False
0020,False,True
0021,True,True
0022,True,False
0023,True,True
0024,True,False
0025,True,False
0026,True,True
0027,True,False
0028,True,False
0029,True,True
0030,True,True
0031,True,False
0032,True,True
0033,True,True
0034,True,False
0035,False,True
0036,True,True
0037,True,False
0038,True,True
0039,True,True
0040,True,False
0041,True,True
0042,False,True
0043,True,False
0044,True,False
0045,True,True
0046,True,True
0047,True,False
0048,True,True
0049,True,True
0050,True,True
0051,False,True
0052,True,True
0053,True,False
0054,True,True
0055,True,False
0056,True,False
0057,True,False
0058,True,False
0059,True,True
0060,True,False
0061,True,True
0062,True,True
0063,False,True
0064,False,True
0065,True,True
0066,False,True
0067,True,True
0068,True,False
0069,True,False
0070,True,False
0071,True,True
0072,False,True
0073,True,True
0074,True,True
0075,True,False
0076,True,True
0077,True,True
0078,True,False
0079,True,False
0080,True,True
0081,True,True
0082,True,False
0083,True,False
0084,True,False
0085,True,True
0086,True,False
0087,True,False
0088,True,False
0089,True,False
0090,True,True
0091,True,True
0092,True,False
0093,True,False
0094,True,True
0095,True,True
0096,True,True
0097,True,False
0098,True,True
0099,True,True
0100,True,False
0101,True,False
0102,True,True
0103,True,True
0104,True,True
0105,False,True
0106,False,True
0107,True,True
0108,True,False
0109,True,True
0110,True,True
0111,True,True
0112,True,True
0113,True,True
0114,True,False
0115,True,True
0116,True,True
0117,True,True
0118,True,False
0119,True,False
0120,True,False
0121,True,True
0122,True,False
0123,True,True
0124,True,True
0125,False,True
0126,True,True
0127,True,False
0128,True,True
0129,True,False
0130,True,True
0131,True,False
0132,False,True
0133,False,True
0134,True,False
0135,True,True
0136,True,False
0137,True,True
0138,True,False
0139,True,True
0140,False,True
0141,True,True
0142,True,False
0143,True,True
0144,True,True
0145,True,True
0146,True,False
0147,True,True
0148,True,True
0149,True,False
0150,True,True
0151,True,True
0152,True,False
0153,True,False
0154,True,True
0155,True,False
0156,True,False
0157,True,False
0158,True,True
0159,True,False
0160,True,True
0161,True,False
0162,True,False
0163,True,False
0164,True,True
0165,True,False
0166,True,False
0167,True,False
0168,True,False
0169,False,True
0170,True,False
0171,False,True
0172,True,False
0173,True,True
0174,True,False
0175,False,True
0176,True,False
0177,True,False
0178,True,False
0179,True,True
0180,True,False
0181,True,False
0182,False,True
0183,True,True
0184,True,False
0185,True,False
0186,True,True
0187,True,True
0188,True,False
0189,True,True
0190,True,True
0191,True,True
0192,True,False
0193,True,True
0194,True,False
0195,True,True
0196,True,False
0197,False,True
0198,True,False
0199,True,False
0200,True,True
0201,True,False
0202,False,True
0203,True,False
0204,True,False
0205,True,False
0206,True,True
0207,True,True
0208,True,False
0209,True,True
0210,True,True
0211,True,False
0212,True,True
0213,True,False
0214,True,False
0215,True,True
0216,True,False
0217,True,False
0218,True,False
0219,True,False
0220,True,True
0221,True,True
0222,False,True
0223,True,True
0224,True,False
0225,True,False
0226,True,True
0227,True,False
0228,True,True
0229,True,True
0230,True,False
0231,True,True
0232,True,True
0233,True,True
0234,True,False
0235,False,True
0236,True,False
0237,True,True
0238,False,True
0239,True,True
0240,True,True
0241,True,False
0242,True,True
0243,True,True
0244,True,True
0245,True,False
0246,True,True
0247,True,False
0248,True,False
0249,True,True
0250,True,True
0251,True,False
0252,True,True
0253,True,True
0254,True,True
0255,True,False
0256,True,True
0257,True,False
0258,True,False
0259,True,True
0260,True,False
0261,True,True
0262,False,True
0263,True,True
0264,True,True
0265,True,True
0266,True,False
0267,True,False
0268,True,True
0269,True,True
0270,True,False
0271,True,False
0272,False,True
0273,False,True
0274,True,True
0275,True,True
0276,True,True
0277,True,True
0278,True,True
0279,True,False
0280,True,False
0281,True,True
0282,True,True
0283,True,True
0284,True,False
0285,True,True
0286,True,True
0287,False,True
0288,True,False
0289,True,False
0290,True,False
0291,True,False
0292,True,False
0293,True,True
0294,True,False
0295,True,True
0296,True,False
0297,True,False
0298,True,True
0299,True,False
0300,True,True
0301,True,False
0302,True,True
0303,True,True
0304,True,False
0305,True,True
0306,True,True
0307,True,True
0308,True,True
0309,True,False
0310,False,True
0311,True,False
0312,True,False
0313,True,False
0314,True,False
0315,True,False
0316,True,True
0317,True,True
0318,True,True
0319,True,False
0320,True,True
0321,True,False
0322,True,False
0323,True,True
0324,False,True
0325,True,False
0326,True,True
0327,True,True
0328,True,False
0329,True,False
0330,True,False
0331,False,True
0332,True,False
0333,True,True
0334,True,True
0335,True,False
0336,True,False
0337,True,True
0338,True,True
0339,True,True
0340,True,True
0341,False,True
0342,True,True
0343,True,False
0344,True,True
0345,True,False
0346,True,True
0347,True,False
0348,True,True
0349,True,True
0350,False,True
0351,True,True
0352,True,False
0353,True,False
0354,True,False
0355,True,True
0356,True,True
0357,False,True
0358,True,False
0359,False,True
0360,True,False
0361,True,True
0362,True,False
0363,False,True
0364,True,False
0365,True,True
0366,True,True
0367,True,False
0368,True,True
0369,True,True
0370,True,True
0371,True,True
0372,True,False
0373,True,False
0374,True,True
0375,True,True
0376,True,True
0377,True,True
0378,True,False
0379,False,True
0380,True,False
0381,True,True
0382,False,True
0383,False,True
0384,True,True
0385,True,False
0386,True,True
0387,True,True
0388,True,False
0389,True,False
0390,True,True
0391,True,True
0392,True,True
0393,True,True
0394,True,False
0395,True,True
0396,True,False
0397,True,True
0398,True,False
0399,True,False
0400,True,True
0401,False,True
0402,True,False
0403,True,False
0404,True,True
0405,True,True
0406,True,True
0407,True,False
0408,True,False
0409,True,False
0410,True,True
0411,True,False
0412,True,True
0413,True,False
0414,True,False
0415,True,True
0416,True,True
0417,False,True
0418,True,False
0419,True,False
0420,True,False
0421,True,False
0422,True,False
0423,True,False
0424,True,True
0425,True,False
0426,True,False
0427,True,True
0428,True,True
0429,True,True
0430,True,True
0431,True,True
0432,True,False
0433,True,True
0434,True,True
0435,True,False
0436,True,True
0437,True,True
0438,True,False
0439,True,True
0440,True,True
0441,True,False
0442,True,True
0443,True,True
0444,True,True
0445,True,True
0446,False,True
0447,True,False
0448,True,False
0449,True,False
0450,True,False
0451,True,True
0452,True,True
0453,True,False
0454,True,False
0455,True,False
0456,True,False
0457,True,False
0458,True,False
0459,True,False
0460,False,True
0461,True,False
0462,True,True
0463,False,True
0464,True,True
0465,True,True
0466,True,False
0467,True,True
0468,True,True
0469,True,False
0470,True,False
0471,True,False
0472,True,True
0473,True,False
0474,True,True
0475,True,False
0476,True,True
0477,True,False
0478,True,False
0479,True,True
0480,True,True
0481,True,False
0482,True,True
0483,True,False
0484,True,True
0485,True,False
0486,True,True
0487,True,True
0488,True,False
0489,True,False
0490,True,True
0491,False,True
0492,True,True
0493,True,True
0494,True,False
0495,True,False
0496,True,False
0497,True,True
0498,True,True
0499,True,False
0500,True,True
0501,True,False
0502,True,True
0503,True,True
0504,True,True
0505,True,False
0506,True,False
0507,True,False
0508,True,True
0509,True,True
0510,True,True
0511,True,False
0512,True,False
0513,True,True
0514,True,True
0515,False,True
0516,True,True
0517,True,True
0518,True,True
0519,True,True
0520,True,True
0521,True,False
0522,True,False
0523,False,True
0524,True,False
0525,True,True
0526,True,True
0527,True,True
0528,True,True
0529,True,False
0530,True,False
0531,True,True
0532,False,True
0533,True,False
0534,True,False
0535,True,True
0536,True,True
0537,True,True
0538,True,True
0539,True,True
0540,True,False
0541,True,False
0542,True,False
0543,True,True
0544,True,False
0545,False,True
0546,True,False
0547,True,False
0548,False,True
0549,True,False
0550,True,False
0551,True,True
0552,True,True
0553,True,True
0554,True,True
0555,True,False
0556,False,True
0557,True,False
0558,True,True
0559,True,False
0560,True,False
0561,True,False
0562,True,True
0563,True,True
0564,True,False
0565,True,True
0566,True,True
0567,True,False
0568,True,False
0569,True,False
0570,True,True
0571,True,True
0572,True,True
0573,False,True
0574,True,False
0575,True,False
0576,True,True
0577,False,True
0578,True,True
0579,True,True
0580,True,True
0581,False,True
0582,False,True
0583,True,False
0584,True,True
0585,True,True
0586,True,False
0587,True,False
0588,True,True
0589,True,False
0590,True,False
0591,True,False
0592,True,True
0593,True,False
0594,True,True
0595,True,True
0596,True,False
0597,True,False
0598,False,True
0599,True,True
0600,True,True
0601,True,True
0602,True,False
0603,True,True
0604,True,False
0605,True,False
0606,True,True
0607,True,False
0608,True,False
0609,True,True
0610,True,True
0611,True,False
0612,False,True
0613,True,True
0614,True,False
0615,True,True
0616,True,True
0617,True,False
0618,True,True
0619,True,True
0620,False,True
0621,True,False
0622,True,False
0623,True,False
0624,True,False
0625,True,True
0626,True,True
0627,True,True
0628,True,True
0629,True,False
0630,True,False
0631,True,False
0632,False,True
0633,True,False
0634,True,False
0635,True,True
0636,True,True
0637,True,False
0638,True,True
0639,True,False
0640,True,False
0641,True,True
0642,True,False
0643,True,False
0644,True,False
0645,True,False
0646,True,True
0647,True,True
0648,True,True
0649,True,False
0650,True,True
0651,True,True
0652,True,True
0653,False,True
0654,True,True
0655,True,False
0656,True,False
0657,True,True
0658,True,False
0659,True,False
0660,True,False
0661,True,False
0662,True,False
0663,True,True
0664,True,True
0665,True,False
0666,True,True
0667,True,False
0668,True,False
0669,True,True
0670,True,True
0671,True,False
0672,True,True
0673,True,False
0674,True,True
0675,True,True
0676,True,True
0677,True,True
0678,True,False
0679,True,False
0680,True,True
0681,True,False
0682,True,False
0683,True,False
0684,True,True
0685,True,True
0686,False,True
0687,True,True
0688,True,True
0689,True,False
0690,True,True
0691,True,True
0692,True,False
0693,True,False
0694,True,False
0695,True,True
0696,True,False
0697,True,False
0698,True,False
0699,True,False
0700,True,True
0701,True,False
0702,True,True
0703,True,False
0704,True,False
0705,False,True
0706,True,True
0707,True,True
0708,True,False
0709,True,False
0710,True,False
0711,True,False
0712,True,False
0713,True,True
0714,True,False
0715,True,False
0716,True,False
0717,True,True
0718,True,False
0719,False,True
0720,True,True
0721,True,True
0722,True,False
0723,True,False
0724,True,False
0725,True,True
0726,True,True
0727,True,False
0728,True,False
0729,False,True
0730,True,False
0731,True,True
0732,True,True
0733,True,False
0734,True,True
0735,True,False
0736,True,True
0737,True,True
0738,True,True
0739,True,False
0740,True,True
0741,True,False
0742,True,True
0743,True,False
0744,True,True
0745,True,True
0746,True,False
0747,True,False
0748,True,True
0749,False,True
0750,True,False
0751,True,False
0752,True,True
0753,True,True
0754,True,True
0755,True,True
0756,True,True
0757,True,True
0758,True,False
0759,True,False
0760,True,False
0761,True,True
0762,True,True
0763,True,False
0764,True,True
0765,True,True
0766,True,False
0767,True,True
0768,True,True
0769,True,False
0770,True,False
0771,True,False
0772,True,True
0773,True,True
0774,True,False
0775,True,False
0776,True,False
0777,True,True
0778,True,False
0779,True,True
0780,True,True
0781,True,True
0782,True,True
0783,True,True
0784,True,True
0785,True,True
0786,True,False
0787,True,True
0788,True,True
0789,True,False
0790,True,False
0791,True,True
0792,True,False
0793,True,True
0794,True,True
0795,True,True
0796,True,True
0797,True,False
0798,True,False
0799,False,True
0800,True,True
0801,True,True
0802,True,False
0803,True,False
0804,True,True
0805,False,True
0806,False,True
0807,False,True
0808,False,True
0809,True,True
0810,True,False
0811,True,True
0812,True,True
0813,True,True
0814,True,False
0815,True,False
0816,True,False
0817,False,True
0818,True,False
0819,True,False
0820,False,True
0821,True,False
0822,True,False
0823,False,True
0824,True,False
0825,True,True
0826,True,False
0827,True,True
0828,True,False
0829,True,False
0830,False,True
0831,True,True
0832,True,True
0833,True,False
0834,True,False
0835,True,True
0836,True,True
0837,True,True
0838,True,True
0839,True,False
0840,True,True
0841,False,True
0842,True,True
0843,True,False
0844,True,False
0845,True,False
0846,True,False
0847,True,True
0848,True,True
0849,True,False
0850,True,True
0851,True,False
0852,True,True
0853,True,True
0854,True,True
0855,True,False
0856,True,True
0857,True,False
0858,True,True
0859,True,False
0860,True,False
0861,True,False
0862,False,True
0863,True,True
0864,True,True
0865,True,False
0866,True,False
0867,True,False
0868,True,False
0869,True,False
0870,True,True
0871,True,False
0872,True,True
0873,True,True
0874,True,False
0875,False,True
0876,True,True
0877,True,True
0878,True,False
0879,True,False
0880,True,True
0881,True,True
0882,True,True
0883,True,True
0884,True,True
0885,True,False
0886,True,False
0887,True,True
0888,True,False
0889,True,False
0890,True,False
0891,True,True
0892,True,False
0893,True,False
0894,False,True
0895,True,False
0896,True,True
0897,False,True
0898,True,True
0899,True,True
0900,True,False
0901,True,False
0902,False,True
0903,True,False
0904,True,True
0905,True,False
0906,True,False
0907,False,True
0908,True,True
0909,True,True
0910,True,True
0911,True,True
0912,True,True
0913,True,True
0914,False,True
0915,True,False
0916,True,False
0917,True,True
0918,True,False
0919,True,False
0920,True,True
0921,True,False
0922,True,True
0923,True,True
0924,True,False
0925,True,False
0926,True,True
0927,True,False
0928,True,False
0929,True,False
0930,True,True
0931,True,True
0932,True,True
0933,True,True
0934,True,False
0935,True,True
0936,True,True
0937,True,True
0938,True,True
0939,True,True
0940,True,True
0941,False,True
0942,True,True
0943,True,False
0944,True,False
0945,False,True
0946,True,True
0947,True,False
0948,True,True
0949,True,True
0950,True,False
0951,True,False
0952,True,False
0953,False,True
0954,True,False
0955,True,False
0956,True,False
0957,True,True
0958,True,True
0959,True,True
0960,True,False
0961,True,False
0962,True,True
0963,True,True
0964,True,True
0965,True,True
0966,True,True
0967,True,False
0968,True,False
0969,True,True
0970,True,True
0971,True,False
0972,False,True
0973,True,True
0974,False,True
0975,True,True
0976,True,False
0977,True,False
0978,True,False
0979,True,True
0980,True,False
0981,True,False
0982,True,True
0983,True,True
0984,True,False
0985,True,False
0986,True,False
0987,True,False
0988,True,False
0989,True,True
0990,False,True
0991,True,False
0992,True,True
0993,True,True
0994,True,True
0995,True,True
0996,True,False
0997,True,False
0998,True,True
